artist,year,words,syllables,sentiment,ttr
Kanye,2008,1390,388,-3.65,0.449640288
Kanye,2008,1999,494,0.3,0.298122066
Kanye,2008,1935,485,-2.45,0.337595908
Kanye,2008,1925,488,-0.5,0.326829268
Kanye,2008,1186,290,2.05,0.188976378
Kanye,2008,901,221,1.65,0.389189189
Kanye,2008,2013,502,2.05,0.318289786
Kanye,2008,903,233,-0.3,0.261363636
Kanye,2008,2554,660,4.35,0.315018315
Kanye,2010,1622,423,-6.55,0.498567335
Kanye,2010,4357,1112,3.95,0.427437642
Kanye,2010,2518,655,-4.85,0.491631799
Kanye,2010,3245,810,-0.5,0.287713841
Kanye,2010,4306,1105,-13.95,0.458333333
Kanye,2010,5623,1445,-5.85,0.381255687
Kanye,2010,3309,840,-3.5,0.471841705
Kanye,2010,2960,759,2.1,0.308441558
Kanye,2010,2156,532,-9.15,0.459161148
Kanye,2010,4895,1226,-4.3,0.352701325
Kanye,2010,2950,757,-2.6,0.354621849
Kanye,2010,1254,335,2.75,0.643171806
Kanye,2010,4662,1191,7.5,0.326848249
Kanye,2011,2123,541,-5.1,0.471526196
Kanye,2011,2052,494,-3.3,0.250564334
Kanye,2011,2563,623,-8.15,0.441774492
Kanye,2011,2239,575,-0.5,0.611627907
Kanye,2011,1924,472,-1.45,0.432835821
Kanye,2011,2327,590,4.55,0.360465116
Kanye,2011,2661,661,4.2,0.458174905
Kanye,2011,1728,440,-10.2,0.525139665
Kanye,2011,3425,837,-6.2,0.397222222
Kanye,2011,3318,832,2.2,0.47439759
Kanye,2011,2289,NA,1.1,0.461893764
Kanye,2011,2465,NA,-4.8,0.451977401
Kanye,2011,2839,747,-4.1,0.45979021
Kanye,2011,2294,594,-5.6,0.485106383
Kanye,2011,1957,NA,5.4,0.463235294
Kanye,2011,2546,653,-0.45,0.532818533
Kanye,2012,2327,595,-1.65,0.338
Kanye,2012,3428,NA,-2.9,0.482168331
Kanye,2012,4123,NA,-4.05,0.391891892
Kanye,2012,3928,989,6.95,0.418275418
Kanye,2012,3359,843,-3.45,0.498498498
Kanye,2012,1860,487,0.45,0.513812155
Kanye,2012,3346,867,-10.1,0.417431193
Kanye,2012,2815,705,-4.2,0.504424779
Kanye,2012,3368,871,0.75,0.395683453
Kanye,2012,1795,444,-0.3,0.307692308
Kanye,2012,1443,362,9.3,0.468227425
Kanye,2012,3158,745,-5.55,0.394658754
Kanye,2013,1170,293,-0.95,0.578059072
Kanye,2013,2104,527,-7,0.371764706
Kanye,2013,1817,440,-3.55,0.48603352
Kanye,2013,2058,504,-3.6,0.444987775
Kanye,2013,1664,442,-8.25,0.448680352
Kanye,2013,2557,629,-0.25,0.490671642
Kanye,2013,2416,614,-7.85,0.427402863
Kanye,2013,1880,479,4,0.344578313
Kanye,2013,1641,399,-3.3,0.413597734
Kanye,2013,2197,557,-3.05,0.468899522
Kanye,2016,3584,899,1.75,0.379642366
Kanye,2016,1292,358,0.1,0.368421053
Kanye,2016,1524,391,-5.85,0.557755776
Kanye,2016,2351,600,-0.6,0.357001972
Kanye,2016,1899,485,-2.9,0.411471322
Kanye,2016,1208,311,6,0.403773585
Kanye,2016,2344,620,-1.15,0.376257545
Kanye,2016,1275,311,-5.65,0.465648855
Kanye,2016,631,172,2.75,0.525547445
Kanye,2016,999,253,-1.95,0.378995434
Kanye,2016,2027,519,1.45,0.370283019
Kanye,2016,2768,709,-1.45,0.410526316
Kanye,2016,1887,461,1.05,0.371352785
Kanye,2016,195,43,0.25,0.682926829
Kanye,2016,813,219,3.35,0.478527607
Kanye,2016,3342,824,1.35,0.439694656
Kanye,2016,6049,1563,-5.9,0.43729097
Kanye,2016,2555,674,0.1,0.469667319
Kanye,2016,1693,454,-0.85,0.246031746
Kanye,2016,4511,1156,5.45,0.424829157
Swift,2006,1755,415,1.5,0.331521739
Swift,2006,1154,289,-5.3,0.531818182
Swift,2006,1260,325,6.75,0.501858736
Swift,2006,872,224,0.55,0.419191919
Swift,2006,971,251,-2.8,0.50990099
Swift,2006,849,224,2.8,0.47311828
Swift,2006,753,190,4.1,0.585526316
Swift,2006,1151,305,4.1,0.493449782
Swift,2006,973,234,0.65,0.527638191
