Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Spinus | Goldfinch,American IPA,5.68,1.064,1.014,6.56,60.99,7.73,9.46,90,65,BIAB
IPA,American IPA,19,1.053,1.013,5.21,78.53,11.89,17,60,35,extract
Centennial Smash,American IPA,18.93,1.069,1.013,7.29,72.37,5.85,20.82,60,50,extract
Green Machine / Golden Promise SMaSH,American IPA,15.14,1.078,1.015,8.32,99.61,6.93,22.71,60,67.5,BIAB
Morgan and Dan IPA,American IPA,21.77,1.065,1.012,6.95,89.69,6.76,32.18,60,72,All Grain
IPA0516,American IPA,25,1.063,1.012,6.71,108.69,4.37,25,60,79,All Grain
American IPA 4,American IPA,21.58,1.066,1.012,7.11,129.87,5.61,31.23,60,71,All Grain
Tropical deconstuction,American IPA,20.82,1.055,1.012,5.67,67.82,4.79,27.44,60,70,All Grain
CTZ IPA,American IPA,20.82,1.064,1.011,6.87,46.77,7.01,26.5,60,66,All Grain
Citra Simbot IPA,American IPA,20.82,1.07,1.009,8,91.63,7.36,32.18,60,69,BIAB
White ipa maybe,American IPA,18.93,1.06,1.008,6.8,59.92,3.78,28.39,60,75,All Grain
Mosaic IPA,American IPA,22.71,1.09,1.024,8.58,133.24,5.7,28.39,60,58,All Grain
New Britski IPA,American IPA,37.85,1.065,1.015,6.62,75.5,10.2,49.21,60,70,All Grain
Stagediver,American IPA,1900,1.07,1.014,7.33,42.38,12.89,2000,60,80,All Grain
None More Black,American IPA,25,1.07,1.011,7.67,63.72,34.89,36,90,70,All Grain
377 Pro Trial Entry IPA 15%,American IPA,681.37,1.076,1.018,7.57,161.94,5.53,688.94,90,80,All Grain
